,Region,Year,Gender,Death Rate,Cause of Death,Population,Total Deaths,Life Expectancy,Age Range
2601,Rajasthan,2010,Male,6.77,Accident,78461245,530826,68.2,36-50
2602,Rajasthan,2007,Male,7.68,Diabetes,74153669,569708,67.6,19-35
2603,Bihar,2000,Female,11.2,Accident,80000000,895817,62,51-65
2604,Gujarat,2010,Male,6.77,Cardio,85329609,577804,69.8,19-35
2605,Tamil Nadu,2010,Female,5,Cardio,69632449,348162,76.3,19-35
2606,West Bengal,2014,Male,5,Cardio,112396922,561984,70.4,0-18
2607,Kerala,2006,Female,5,Cardio,37596820,187984,80,19-35
2608,Tamil Nadu,2003,Female,5.31,Infect,62740702,333271,74.3,36-50
2609,Maharashtra,2005,Female,5,Accident,54664942,273324,69.7,19-35
2610,Gujarat,2007,Male,6.87,Diabetes,80407996,552182,70.6,51-65
2611,Gujarat,2011,Female,6.15,Infect,87036201,535354,72.6,36-50
2612,Gujarat,2009,Male,5.01,Cardio,83656479,419067,70.1,36-50
2613,Rajasthan,2009,Female,7.3,Accident,76998278,561863,68.8,19-35
2614,Uttar Pradesh,2008,Female,7.37,Cardio,182760434,1346207,66,0-18
2615,Karnataka,2014,Male,5,Infect,69639561,348197,75.3,0-18
2616,Kerala,2010,Male,5,Cardio,39434212,197171,80,66+
2617,Bihar,2013,Female,7.96,Cardio,106157732,845502,65.3,66+
2618,Karnataka,2008,Male,6.36,Accident,62940518,400329,73.4,0-18
2619,Kerala,2004,Male,5,Cardio,36710482,183552,77.3,36-50
2620,Rajasthan,2005,Female,8.1,Resp,71414150,578750,67,19-35
2621,Andhra Pradesh,2011,Male,5,Accident,52436056,262180,74.3,36-50
2622,Rajasthan,2014,Female,6.78,Cardio,84596409,573874,71.3,36-50
2623,Kerala,2006,Male,5,Resp,37596820,187984,79,19-35
2624,Gujarat,2009,Male,7.08,Stroke,83656479,591883,71.3,19-35
2625,Andhra Pradesh,2014,Female,5,Accident,54669346,273346,74,51-65
2626,Gujarat,2008,Female,6.19,Cancer,82016156,507703,71.1,36-50
2627,Uttar Pradesh,2000,Male,9.39,Cardio,150000000,1409044,63.2,36-50
2628,Maharashtra,2000,Male,7.41,Diabetes,50000000,370742,70.7,51-65
2629,Karnataka,2005,Female,6.52,Infect,59836675,390228,72.8,36-50
2630,Karnataka,2012,Male,5,Cardio,67330854,336654,75.3,51-65
2631,Karnataka,2001,Female,6.74,Cancer,55934999,377173,71.3,36-50
2632,Bihar,2014,Male,8.2,Cancer,108493202,889149,67.3,51-65
2633,West Bengal,2015,Male,5,Resp,114195273,570976,72,36-50
2634,Maharashtra,2001,Male,7.68,Accident,50900000,391068,70.4,51-65
2635,Uttar Pradesh,2001,Female,9.64,Cancer,153750000,1481805,64.1,0-18
2636,Tamil Nadu,2006,Female,5.5,Resp,65606595,360957,73.3,0-18
2637,Maharashtra,2001,Male,6.71,Cardio,50900000,341387,70.8,19-35
2638,Gujarat,2005,Male,6.81,Infect,77285656,526069,70.2,0-18
2639,Andhra Pradesh,2003,Female,7.29,Infect,46916583,341999,71.4,0-18
2640,Gujarat,2013,Female,5,Accident,90552464,452762,71.9,36-50
2641,Uttar Pradesh,2003,Female,8.83,Resp,161533593,1425772,65.2,66+
2642,Maharashtra,2015,Female,5,Cardio,65341135,326705,73.8,51-65
2643,Karnataka,2005,Male,6.01,Accident,59836675,359812,73.9,36-50
2644,Tamil Nadu,2012,Female,5,Resp,71737090,358685,78,19-35
2645,Kerala,2014,Female,5,Cardio,41361398,206806,80,36-50
2646,Gujarat,2006,Male,6.52,Cardio,78831369,514119,70.3,36-50
2647,Bihar,2010,Female,9.33,Cardio,99448662,927693,66.4,36-50
2648,Bihar,2008,Female,9.9,Stroke,95213198,942637,64.5,0-18
2649,Uttar Pradesh,2009,Male,7.1,Accident,187329445,1329211,66.2,36-50
2650,Andhra Pradesh,2009,Male,6.08,Diabetes,50998113,310069,71.5,36-50
2651,Tamil Nadu,2013,Female,5,Infect,72813146,364065,77,19-35
2652,Uttar Pradesh,2011,Female,7.95,Accident,196812998,1564048,65.7,36-50
2653,Tamil Nadu,2003,Male,5.4,Infect,62740702,338852,76.2,66+
2654,Kerala,2015,Female,5,Cardio,41857735,209288,79.5,0-18
2655,Maharashtra,2000,Male,7.51,Cancer,50000000,375315,69.9,51-65
2656,Uttar Pradesh,2005,Female,8.76,Resp,169711231,1485993,66.2,36-50
2657,Andhra Pradesh,2000,Female,7.12,Resp,45000000,320314,69.3,19-35
2658,Gujarat,2015,Female,5.15,Cardio,94210783,485416,72.6,51-65
2659,West Bengal,2011,Male,5.87,Infect,107170016,629111,70,51-65
2660,Gujarat,2003,Female,8.25,Infect,74284560,613128,69.8,0-18
2661,Uttar Pradesh,2002,Male,8.75,Diabetes,157593750,1378506,64.4,0-18
2662,West Bengal,2007,Male,6.36,Infect,100576950,639444,69.3,36-50
2663,Maharashtra,2008,Male,5.12,Infect,57670302,295363,73.7,19-35
2664,Andhra Pradesh,2005,Male,5.12,Cardio,48239443,246797,70.4,19-35
2665,Kerala,2010,Female,5,Accident,39434212,197171,80,19-35
2666,Uttar Pradesh,2002,Male,9.03,Cardio,157593750,1422973,63.7,36-50
2667,Rajasthan,2006,Male,7.81,Infect,72771019,568018,70.1,51-65
2668,Uttar Pradesh,2006,Male,8.27,Diabetes,173954012,1438754,66,51-65
2669,Kerala,2014,Male,5,Resp,41361398,206806,80,19-35
2670,Rajasthan,2005,Male,7.11,Cardio,71414150,507725,67,51-65
2671,Uttar Pradesh,2001,Male,9.83,Cardio,153750000,1510703,64.2,19-35
2672,West Bengal,2006,Male,6.83,Infect,98993061,675885,69,66+
2673,Kerala,2010,Male,5,Cardio,39434212,197171,79.9,36-50
2674,Kerala,2006,Female,5,Infect,37596820,187984,79.8,36-50
2675,Kerala,2002,Male,5.35,Accident,35845040,191947,78.8,0-18
2676,Tamil Nadu,2005,Male,5,Stroke,64637040,323185,74.1,36-50
2677,Uttar Pradesh,2004,Male,8.53,Infect,165571933,1411667,62.9,36-50
2678,Bihar,2006,Male,9.83,Infect,91158120,895839,63.9,51-65
2679,Kerala,2006,Female,5,Infect,37596820,187984,78.7,36-50
2680,Rajasthan,2010,Female,6.89,Infect,78461245,540316,69.9,36-50
2681,Rajasthan,2001,Female,8.59,Infect,66234999,568772,65,51-65
2682,Bihar,2004,Male,10.19,Accident,87275746,889025,63.4,51-65
2683,Andhra Pradesh,2012,Male,5,Accident,53170160,265850,72.9,66+
2684,Kerala,2001,Male,5.02,Cardio,35420000,177781,78.3,36-50
2685,Uttar Pradesh,2014,Female,6.91,Infect,211946073,1465123,69.2,19-35
2686,Tamil Nadu,2001,Male,7.48,Accident,60899999,455332,75.3,36-50
2687,Rajasthan,2006,Female,6.28,Accident,72771019,457058,66.7,51-65
2688,Tamil Nadu,2010,Male,5.66,Cancer,69632449,393816,77.2,19-35
2689,Gujarat,2003,Male,6.94,Stroke,74284560,515872,69.9,51-65
2690,Uttar Pradesh,2015,Male,6.62,Accident,217244724,1437397,67.6,19-35
2691,Karnataka,2004,Female,5,Accident,58836455,294182,73,19-35
2692,Maharashtra,2005,Male,6.35,Cancer,54664942,346885,74.1,0-18
2693,Karnataka,2005,Male,5.58,Infect,59836675,333705,71.5,36-50
2694,West Bengal,2015,Male,5,Accident,114195273,570976,71,19-35
2695,Maharashtra,2012,Female,5,Cancer,61936026,309680,73.7,66+
2696,Andhra Pradesh,2011,Female,5,Accident,52436056,262180,73.1,66+
2697,Gujarat,2003,Female,8.46,Diabetes,74284560,628246,69.9,19-35
2698,Tamil Nadu,2011,Female,5,Cardio,70676936,353384,77.7,51-65
2699,Andhra Pradesh,2009,Female,5.75,Infect,50998113,293065,73.9,36-50
2700,Tamil Nadu,2013,Male,5,Accident,72813146,364065,78,36-50
2701,Uttar Pradesh,2008,Female,7.9,Cardio,182760434,1443687,68.6,36-50
2702,Maharashtra,2008,Female,5.11,Cardio,57670302,294541,71.5,0-18
2703,Bihar,2015,Female,7.67,Cardio,110880052,850885,65.8,0-18
2704,West Bengal,2010,Female,5.24,Cardio,105482299,552574,71.7,66+
2705,Kerala,2014,Male,5,Cardio,41361398,206806,79.7,19-35
2706,Maharashtra,2003,Male,6.09,Cancer,52748891,321127,72.1,51-65
2707,Tamil Nadu,2014,Male,5,Accident,73905343,369526,76.9,51-65
2708,Karnataka,2000,Female,7.48,Cardio,55000000,411184,71.6,36-50
2709,Gujarat,2002,Female,8.1,Diabetes,72828000,589895,69,36-50
2710,Karnataka,2002,Female,5.72,Diabetes,56885894,325171,72.2,0-18
2711,West Bengal,2006,Male,6.8,Accident,98993061,672667,69.9,19-35
2712,Rajasthan,2000,Male,7.98,Resp,65000000,518995,66.4,19-35
2713,Gujarat,2015,Female,5,Accident,94210783,471053,70.9,51-65
2714,Rajasthan,2006,Male,7.82,Resp,72771019,569373,68.4,19-35
2715,Bihar,2001,Male,10.63,Cardio,81760000,868737,62.5,51-65
2716,Gujarat,2014,Male,5,Diabetes,92363513,461817,71.6,66+
2717,Bihar,2002,Female,9.95,Accident,83558720,831315,63.9,0-18
2718,Kerala,2014,Male,5,Accident,41361398,206806,80,19-35
2719,Bihar,2005,Male,10.26,Infect,89195812,915180,63.8,19-35
2720,Maharashtra,2012,Female,5,Diabetes,61936026,309680,73.8,0-18
2721,Bihar,2001,Male,9.83,Cancer,81760000,803370,62,51-65
2722,Maharashtra,2005,Female,6.32,Diabetes,54664942,345292,70.3,51-65
2723,Uttar Pradesh,2004,Female,9.44,Cardio,165571933,1562711,65.9,36-50
2724,Bihar,2015,Male,7.98,Resp,110880052,884395,65.9,0-18
2725,Kerala,2000,Female,5,Resp,35000000,175000,76.3,36-50
2726,Uttar Pradesh,2013,Male,7.41,Infect,206776656,1532164,67.9,36-50
2727,Kerala,2005,Female,5,Cardio,37151008,185755,76.6,19-35
2728,Bihar,2008,Female,9.02,Diabetes,95213198,858777,62,36-50
2729,Tamil Nadu,2011,Male,5,Resp,70676936,353384,75.5,19-35
2730,West Bengal,2015,Female,5,Cardio,114195273,570976,72.6,36-50
2731,Rajasthan,2012,Male,5.34,Cardio,81471097,435329,68.3,19-35
2732,Rajasthan,2003,Male,6.72,Accident,68775840,462217,65.5,36-50
2733,West Bengal,2013,Male,5,Accident,110626892,553134,71.6,19-35
2734,Karnataka,2003,Female,6.24,Infect,57852955,360835,71,19-35
2735,Kerala,2011,Male,5,Cardio,39907422,199537,78.7,51-65
2736,Rajasthan,2001,Male,9.45,Resp,66234999,625649,67.5,36-50
2737,Gujarat,2002,Male,7.6,Cardio,72828000,553651,68.1,19-35
2738,Gujarat,2000,Female,7.93,Resp,70000000,555264,65.8,36-50
2739,Rajasthan,2015,Male,5.95,Resp,86203741,513236,71.6,66+
2740,Maharashtra,2001,Female,6.53,Diabetes,50900000,332619,68.3,36-50
2741,Gujarat,2014,Female,5.65,Infect,92363513,522093,73.5,51-65
2742,Maharashtra,2012,Female,5.03,Cardio,61936026,311562,74.7,51-65
2743,Karnataka,2005,Male,5.41,Infect,59836675,323815,73.1,19-35
2744,Maharashtra,2010,Female,5.42,Accident,59765118,323737,74,0-18
2745,Gujarat,2015,Female,5.4,Cardio,94210783,509191,71.6,66+
2746,Gujarat,2008,Male,6.02,Cardio,82016156,493328,71.1,0-18
2747,Rajasthan,2015,Female,5.78,Resp,86203741,498347,70.9,19-35
2748,Bihar,2004,Male,10.76,Resp,87275746,938706,61.9,66+
2749,Gujarat,2011,Male,6.74,Stroke,87036201,586550,70.8,66+
2750,Kerala,2014,Female,5,Cardio,41361398,206806,80,19-35
2751,West Bengal,2004,Male,7.03,Stroke,95899720,674170,69,0-18
2752,Tamil Nadu,2001,Male,6.49,Accident,60899999,395424,74.9,0-18
2753,Gujarat,2013,Male,5.19,Cancer,90552464,469922,72,0-18
2754,Tamil Nadu,2005,Female,6.52,Diabetes,64637040,421593,75.3,51-65
2755,Andhra Pradesh,2006,Male,6.25,Accident,48914795,305578,72.8,19-35
2756,Rajasthan,2000,Male,8.57,Cardio,65000000,557161,64.8,66+
2757,Rajasthan,2007,Male,7.58,Diabetes,74153669,562341,66.7,66+
2758,Andhra Pradesh,2003,Female,5.83,Cardio,46916583,273721,72.8,36-50
2759,Bihar,2013,Female,8.05,Infect,106157732,854178,65.2,19-35
2760,Andhra Pradesh,2002,Male,7.1,Resp,46268820,328620,68.9,19-35
2761,Gujarat,2014,Female,5,Resp,92363513,461817,72.7,51-65
2762,Bihar,2001,Male,10.22,Accident,81760000,835928,62.1,19-35
2763,Tamil Nadu,2002,Female,7.32,Cardio,61813499,452530,74.1,36-50
2764,Maharashtra,2001,Female,7.09,Infect,50900000,360972,69.6,66+
2765,West Bengal,2014,Male,5.13,Cardio,112396922,576154,72,36-50
2766,Tamil Nadu,2013,Female,5,Infect,72813146,364065,79.6,66+
2767,Uttar Pradesh,2013,Female,6.83,Resp,206776656,1412883,67.5,36-50
2768,Kerala,2014,Male,5,Cardio,41361398,206806,80,51-65
2769,Maharashtra,2000,Female,7.35,Cardio,50000000,367513,67.8,66+
2770,Gujarat,2010,Male,6.46,Infect,85329609,551044,71.7,36-50
2771,Maharashtra,2010,Male,5.37,Cancer,59765118,320641,75,19-35
2772,Kerala,2004,Male,5.55,Infect,36710482,203880,80,51-65
2773,Kerala,2004,Male,5.04,Cardio,36710482,184915,79.7,0-18
2774,Andhra Pradesh,2002,Female,6.77,Infect,46268820,313177,70,36-50
2775,Kerala,2011,Male,5,Accident,39907422,199537,80,0-18
2776,Andhra Pradesh,2015,Female,5,Cardio,55434717,277173,74.8,51-65
2777,Rajasthan,2010,Male,6.93,Cardio,78461245,543525,68.3,36-50
2778,Andhra Pradesh,2004,Male,6.26,Accident,47573415,297818,70.9,51-65
2779,Tamil Nadu,2005,Male,5.08,Cardio,64637040,328603,75.9,19-35
2780,Kerala,2008,Male,5,Accident,38504558,192522,79.4,51-65
2781,Bihar,2010,Male,8.46,Cancer,99448662,841537,66.3,19-35
2782,Bihar,2012,Male,8.66,Stroke,103872536,899575,64.3,19-35
2783,Kerala,2005,Male,5,Stroke,37151008,185755,77.7,66+
2784,Rajasthan,2003,Female,7.89,Infect,68775840,542595,68.6,51-65
2785,Karnataka,2004,Male,5.76,Accident,58836455,339075,72.1,0-18
2786,Uttar Pradesh,2002,Male,8.87,Infect,157593750,1398195,63.9,36-50
2787,Uttar Pradesh,2011,Male,6.85,Accident,196812998,1348023,68.6,0-18
2788,Karnataka,2006,Female,5.59,Cancer,60853898,340056,72.2,51-65
2789,Andhra Pradesh,2013,Female,5,Infect,53914543,269572,73.4,66+
2790,Maharashtra,2001,Male,7.52,Accident,50900000,382816,70.4,51-65
2791,Andhra Pradesh,2003,Female,7.01,Cardio,46916583,328769,71.9,0-18
2792,Karnataka,2013,Female,5,Cancer,68475478,342377,75.7,0-18
2793,Karnataka,2001,Female,6.85,Infect,55934999,382945,73.2,51-65
2794,Kerala,2015,Female,5,Accident,41857735,209288,80,0-18
2795,Rajasthan,2005,Male,6.9,Accident,71414150,493112,67.4,36-50
2796,Tamil Nadu,2009,Female,5,Infect,68603398,343016,76.6,51-65
2797,Karnataka,2000,Female,7.21,Cancer,55000000,396742,70.3,0-18
2798,Kerala,2013,Female,5,Cancer,40870947,204354,79.7,19-35
2799,Kerala,2001,Male,5.15,Cardio,35420000,182301,78.7,0-18
2800,Rajasthan,2004,Male,7.16,Infect,70082581,501847,67.7,51-65
2801,Karnataka,2014,Female,5.26,Cardio,69639561,366333,74.9,0-18
2802,Gujarat,2007,Male,6.85,Accident,80407996,551159,71.3,36-50
2803,Uttar Pradesh,2005,Female,8.29,Diabetes,169711231,1407218,65.4,51-65
2804,Maharashtra,2007,Female,5.36,Infect,56650591,303421,73.1,19-35
2805,Gujarat,2006,Female,5.94,Resp,78831369,468484,68.5,36-50
2806,Tamil Nadu,2001,Male,6.84,Infect,60899999,416764,72.6,51-65
2807,Bihar,2007,Male,9.17,Accident,93163599,854261,63.8,66+
2808,Kerala,2014,Male,5,Infect,41361398,206806,80,66+
2809,Uttar Pradesh,2004,Male,8.1,Cardio,165571933,1341498,66.5,36-50
2810,Bihar,2004,Male,10.14,Resp,87275746,885249,62.4,19-35
2811,Rajasthan,2005,Male,7.43,Accident,71414150,530543,67.3,66+
2812,Karnataka,2010,Male,5,Accident,65098685,325493,74.2,19-35
2813,Uttar Pradesh,2009,Female,8.03,Resp,187329445,1505179,65.8,36-50
2814,Gujarat,2011,Male,5.74,Cardio,87036201,499964,71.1,0-18
2815,Maharashtra,2000,Female,6.91,Infect,50000000,345352,70.8,36-50
2816,Tamil Nadu,2001,Female,5.83,Resp,60899999,355207,75,0-18
2817,Uttar Pradesh,2011,Male,7.15,Infect,196812998,1407520,69,19-35
2818,Gujarat,2015,Female,5,Accident,94210783,471053,71.9,36-50
2819,Uttar Pradesh,2013,Male,6.97,Cardio,206776656,1440450,67.4,66+
2820,Maharashtra,2007,Female,5.36,Infect,56650591,303680,72,51-65
2821,Andhra Pradesh,2013,Male,5,Accident,53914543,269572,73.4,36-50
2822,Tamil Nadu,2001,Female,5.72,Cardio,60899999,348549,76,36-50
2823,Rajasthan,2008,Female,7.38,Infect,75562588,557947,67.5,66+
2824,Kerala,2012,Male,5,Infect,40386311,201931,80,0-18
2825,Gujarat,2014,Female,5.27,Infect,92363513,487078,70.8,36-50
2826,Kerala,2006,Male,5,Cardio,37596820,187984,79.5,0-18
2827,Uttar Pradesh,2000,Female,8.3,Accident,150000000,1245601,64.3,36-50
2828,West Bengal,2010,Female,5.72,Accident,105482299,603166,70.7,36-50
2829,Karnataka,2000,Male,6.92,Infect,55000000,380328,71.4,0-18
2830,Karnataka,2005,Male,6.58,Cardio,59836675,393940,72,19-35
2831,West Bengal,2007,Female,7.37,Infect,100576950,741259,69.8,66+
2832,Maharashtra,2006,Male,6.53,Cardio,55648911,363335,71.5,0-18
2833,Kerala,2012,Female,5,Resp,40386311,201931,80,36-50
2834,Karnataka,2002,Male,6.82,Cardio,56885894,387917,71.9,36-50
2835,Rajasthan,2000,Male,8.94,Diabetes,65000000,581022,65.2,19-35
2836,Uttar Pradesh,2003,Female,8.38,Cardio,161533593,1354138,66.1,36-50
2837,Karnataka,2001,Male,5.82,Accident,55934999,325679,70.4,66+
2838,Gujarat,2006,Female,7.03,Resp,78831369,554050,69,19-35
2839,Rajasthan,2006,Female,6.94,Cancer,72771019,505176,68.4,36-50
2840,Uttar Pradesh,2007,Male,8.4,Resp,178302863,1497061,65.3,51-65
2841,Karnataka,2011,Female,5.16,Cardio,66205363,341474,73.9,0-18
2842,Kerala,2001,Female,5.52,Cardio,35420000,195349,76.1,36-50
2843,West Bengal,2004,Male,7.33,Accident,95899720,702500,68.6,36-50
2844,Karnataka,2005,Male,6.26,Stroke,59836675,374574,71.5,36-50
2845,Bihar,2012,Male,7.98,Cancer,103872536,828877,64.5,0-18
2846,Tamil Nadu,2005,Female,5,Infect,64637040,323185,75.3,0-18
2847,Karnataka,2010,Male,5.76,Accident,65098685,374990,73.7,51-65
2848,Tamil Nadu,2011,Female,5,Resp,70676936,353384,76.7,51-65
2849,Rajasthan,2003,Male,8.19,Cardio,68775840,563307,68.9,51-65
2850,Bihar,2015,Male,8.25,Infect,110880052,914285,66.9,51-65
2851,Tamil Nadu,2005,Female,5.74,Cancer,64637040,371032,76,0-18
2852,Tamil Nadu,2007,Female,5,Resp,66590694,332953,74.5,51-65
2853,Tamil Nadu,2000,Female,6.12,Infect,60000000,367063,74.6,51-65
2854,Tamil Nadu,2000,Female,6.67,Infect,60000000,400104,75.1,51-65
2855,Maharashtra,2000,Male,7.57,Cardio,50000000,378730,70,19-35
2856,Bihar,2007,Female,9.12,Infect,93163599,849490,65.5,19-35
2857,Karnataka,2007,Female,5.93,Resp,61888414,366989,71,0-18
2858,Karnataka,2004,Male,6.16,Accident,58836455,362420,70.2,19-35
2859,Uttar Pradesh,2014,Female,7.44,Infect,211946073,1576397,66.8,0-18
2860,West Bengal,2000,Male,7.76,Diabetes,90000000,698336,67.9,0-18
2861,Rajasthan,2005,Male,7.62,Infect,71414150,544169,67.7,51-65
2862,Andhra Pradesh,2011,Female,5.14,Cardio,52436056,269268,70.8,66+
2863,Tamil Nadu,2004,Female,6.04,Cardio,63681813,384924,76.1,36-50
2864,Karnataka,2007,Male,5.21,Accident,61888414,322703,72.8,0-18
2865,Andhra Pradesh,2012,Male,5,Accident,53170160,265850,74.8,36-50
2866,West Bengal,2012,Female,5.15,Cardio,108884736,560705,69.7,19-35
2867,Maharashtra,2000,Male,7.54,Stroke,50000000,376925,71.1,19-35
2868,Rajasthan,2004,Male,7.86,Infect,70082581,550769,67.2,36-50
2869,Tamil Nadu,2002,Male,6.04,Accident,61813499,373637,73.9,0-18
2870,Gujarat,2011,Female,6.13,Stroke,87036201,533723,72.1,51-65
2871,Maharashtra,2001,Female,6.69,Infect,50900000,340692,70,0-18
2872,Bihar,2011,Male,8.55,Stroke,101636532,868861,64.2,19-35
2873,Maharashtra,2015,Male,5,Resp,65341135,326705,74.8,36-50
2874,Gujarat,2002,Female,7.96,Infect,72828000,579898,66.8,51-65
2875,Tamil Nadu,2000,Female,7.53,Cardio,60000000,452007,74.2,19-35
2876,West Bengal,2008,Female,5.93,Infect,102186182,605715,69.5,19-35
2877,Gujarat,2010,Male,5.61,Resp,85329609,478362,70.8,36-50
2878,Uttar Pradesh,2012,Male,6.5,Resp,201733323,1311516,66.9,0-18
2879,Tamil Nadu,2013,Male,5,Infect,72813146,364065,77.3,19-35
2880,Maharashtra,2011,Female,5,Resp,60840890,304204,73.4,19-35
2881,Gujarat,2001,Male,7.39,Accident,71400000,527995,69.5,51-65
2882,Andhra Pradesh,2011,Male,5,Infect,52436056,262180,74.1,51-65
2883,Gujarat,2012,Male,5.22,Stroke,88776925,463300,72.6,19-35
2884,Maharashtra,2007,Male,5.01,Cardio,56650591,283856,71.9,0-18
2885,West Bengal,2003,Female,6.7,Diabetes,94389488,632401,68.3,0-18
2886,Karnataka,2005,Female,6.04,Accident,59836675,361199,71.8,19-35
2887,Uttar Pradesh,2006,Female,8.1,Cancer,173954012,1409631,65.6,66+
2888,Gujarat,2000,Male,8.15,Cardio,70000000,570548,69.3,19-35
2889,Maharashtra,2004,Female,6.47,Cardio,53698371,347401,69.1,0-18
2890,Kerala,2006,Male,5,Resp,37596820,187984,78.2,66+
2891,Gujarat,2003,Male,7.27,Cardio,74284560,539888,68.7,19-35
2892,Kerala,2009,Female,5,Cancer,38966612,194833,78.3,36-50
2893,Karnataka,2001,Female,6.52,Cardio,55934999,364841,72.7,19-35
2894,Karnataka,2011,Female,5.19,Cardio,66205363,343387,73.2,0-18
2895,Maharashtra,2007,Male,5.71,Cardio,56650591,323597,72,51-65
2896,Andhra Pradesh,2004,Female,5.81,Accident,47573415,276542,69.2,36-50
2897,Rajasthan,2006,Female,8.41,Cardio,72771019,611937,68.7,19-35
2898,Maharashtra,2010,Male,5.42,Accident,59765118,323739,73.6,36-50
2899,Gujarat,2002,Female,7.73,Accident,72828000,562998,69,19-35
2900,Gujarat,2002,Female,7.48,Cardio,72828000,544908,66.5,36-50
2901,Tamil Nadu,2000,Female,6.91,Infect,60000000,414804,75,36-50
2902,Rajasthan,2007,Female,7.35,Infect,74153669,545181,68.3,51-65
2903,Kerala,2014,Male,5,Resp,41361398,206806,80,51-65
2904,Gujarat,2005,Female,7.67,Cardio,77285656,592918,68.9,36-50
2905,Bihar,2004,Female,9.88,Accident,87275746,862683,61.7,51-65
2906,Bihar,2015,Male,8.13,Resp,110880052,901549,68.3,19-35
2907,Bihar,2014,Female,8.1,Infect,108493202,878973,67.3,0-18
2908,Tamil Nadu,2010,Male,5,Cancer,69632449,348162,77.2,51-65
2909,Maharashtra,2000,Female,7.46,Accident,50000000,373203,70.8,19-35
2910,Maharashtra,2009,Female,5.24,Accident,58708367,307776,73.2,36-50
2911,Bihar,2012,Female,7.92,Cardio,103872536,822925,65.3,19-35
2912,Uttar Pradesh,2010,Male,7.03,Accident,192012681,1349292,67,36-50
2913,Andhra Pradesh,2012,Female,5,Infect,53170160,265850,75,36-50
2914,Uttar Pradesh,2011,Female,7.09,Diabetes,196812998,1395597,66.4,51-65
2915,Karnataka,2011,Female,5,Cancer,66205363,331026,73.9,0-18
2916,West Bengal,2005,Male,7.14,Infect,97434115,695693,67.3,0-18
2917,Kerala,2009,Female,5,Infect,38966612,194833,79.6,51-65
2918,Karnataka,2001,Female,6.13,Infect,55934999,343004,70.6,0-18
2919,Gujarat,2008,Male,7.08,Stroke,82016156,580823,69,51-65
2920,Tamil Nadu,2002,Male,6.27,Infect,61813499,387299,75.1,66+
2921,Uttar Pradesh,2012,Female,6.5,Cancer,201733323,1310291,68.4,19-35
2922,Kerala,2006,Male,5,Accident,37596820,187984,78,66+
2923,Tamil Nadu,2012,Female,5,Stroke,71737090,358685,76.2,51-65
2924,Andhra Pradesh,2012,Female,5.16,Resp,53170160,274541,73.5,36-50
2925,Tamil Nadu,2010,Female,5,Cardio,69632449,348162,76.5,51-65
2926,Maharashtra,2000,Male,7.76,Stroke,50000000,387919,70.3,36-50
2927,Bihar,2014,Female,9.02,Cardio,108493202,978876,66.4,0-18
2928,Gujarat,2000,Male,8.17,Accident,70000000,572131,68.4,19-35
2929,West Bengal,2013,Female,5.2,Cardio,110626892,575161,71.5,51-65
2930,Uttar Pradesh,2011,Female,7.12,Diabetes,196812998,1401567,67.4,66+
2931,Kerala,2006,Female,5,Infect,37596820,187984,80,51-65
2932,Maharashtra,2002,Female,6.93,Diabetes,51816200,359268,71.1,19-35
2933,Tamil Nadu,2004,Female,5.87,Diabetes,63681813,373616,75.7,0-18
2934,West Bengal,2001,Male,7.76,Resp,91440000,709963,68.3,36-50
2935,Gujarat,2011,Male,6.69,Cardio,87036201,582660,72.5,36-50
2936,Uttar Pradesh,2004,Female,8.35,Resp,165571933,1383109,65.8,51-65
2937,Bihar,2011,Female,8.69,Stroke,101636532,883440,65.3,0-18
2938,Rajasthan,2014,Male,5.68,Stroke,84596409,480223,70.1,19-35
2939,Rajasthan,2004,Male,7.84,Infect,70082581,549357,66.4,36-50
2940,Karnataka,2007,Male,6.33,Cardio,61888414,391867,71.4,0-18
2941,Uttar Pradesh,2014,Male,6.58,Accident,211946073,1394194,66.5,19-35
2942,Tamil Nadu,2010,Female,5,Accident,69632449,348162,75.7,19-35
2943,Rajasthan,2008,Female,7.12,Accident,75562588,537690,68.9,0-18
2944,Kerala,2006,Male,5,Cancer,37596820,187984,79.8,19-35
2945,Bihar,2003,Female,10.28,Cardio,85397011,877812,65,36-50
2946,West Bengal,2010,Female,5.17,Infect,105482299,545131,69.4,51-65
2947,Gujarat,2012,Male,5.47,Diabetes,88776925,485628,70.3,51-65
2948,Tamil Nadu,2012,Female,5,Cardio,71737090,358685,78.2,36-50
2949,Maharashtra,2015,Male,5,Cardio,65341135,326705,74.8,36-50
2950,Maharashtra,2010,Female,5.02,Cardio,59765118,300277,74.5,0-18
2951,Karnataka,2000,Male,7.14,Accident,55000000,392955,71.2,66+
2952,Bihar,2003,Male,9.03,Accident,85397011,771307,62.1,36-50
2953,Rajasthan,2015,Male,6,Cardio,86203741,517134,70.1,51-65
2954,Karnataka,2000,Female,6.62,Infect,55000000,364073,71.9,19-35
2955,Gujarat,2002,Male,7.52,Resp,72828000,547669,68.1,0-18
2956,Maharashtra,2002,Male,6.74,Diabetes,51816200,349043,70.4,36-50
2957,Rajasthan,2013,Male,6.75,Diabetes,83019047,560417,69.5,36-50
2958,Gujarat,2015,Male,5.04,Diabetes,94210783,474551,70.1,66+
2959,Tamil Nadu,2000,Male,6.92,Infect,60000000,415408,74.1,19-35
2960,Kerala,2005,Male,5,Cancer,37151008,185755,77.9,51-65
